album,artist,date,rank
NOW 49,Various Artists,2014-02-22,1
Frozen,Soundtrack,2014-02-22,2
Unorthodox Jukebox,Bruno Mars,2014-02-22,3
"Love, Marriage & Divorce",Toni Braxton &amp; Babyface,2014-02-22,4
After The Disco,Broken Bells,2014-02-22,5
Salute,Little Mix,2014-02-22,6
Beyonce,Beyonce,2014-02-22,7
Pure Heroine,Lorde,2014-02-22,8
2014 Grammy Nominees,Various Artists,2014-02-22,9
PRISM,Katy Perry,2014-02-22,10
Doo-Wops & Hooligans,Bruno Mars,2014-02-22,11
Night Visions,Imagine Dragons,2014-02-22,12
The Marshall Mathers LP 2,Eminem,2014-02-22,13
Thrive,Casting Crowns,2014-02-22,14
Kidz Bop 25,Kidz Bop Kids,2014-02-22,15
Hydra,Within Temptation,2014-02-22,16
Midnight Memories,One Direction,2014-02-22,17
Bangerz,Miley Cyrus,2014-02-22,18
Here's To The Good Times,Florida Georgia Line,2014-02-22,19
Crash My Party,Luke Bryan,2014-02-22,20
The Heist,Macklemore &amp; Ryan Lewis,2014-02-22,21
NOW 48,Various Artists,2014-02-22,22
That Girl,Jennifer Nettles,2014-02-22,23
Nothing Was The Same,Drake,2014-02-22,24
Black Panties,R. Kelly,2014-02-22,25
WOW Gospel 2014,Various Artists,2014-02-22,26
Bad Blood,Bastille,2014-02-22,27
Random Access Memories,Daft Punk,2014-02-22,28
Love In The Future,John Legend,2014-02-22,29
All The Little Lights,Passenger,2014-02-22,30
Eric Paslay,Eric Paslay,2014-02-22,31
Fight The Silence,For Today,2014-02-22,32
Restoring Force,Of Mice &amp; Men,2014-02-22,33
Satanist,Behemoth,2014-02-22,34
The 20/20 Experience (2 Of 2),Justin Timberlake,2014-02-22,35
Same Trailer Different Park,Kacey Musgraves,2014-02-22,36
1,The Beatles,2014-02-22,37
AM,Arctic Monkeys,2014-02-22,38
"good kid, m.A.A.d city",Kendrick Lamar,2014-02-22,39
Sail Out (EP),Jhene Aiko,2014-02-22,40
High Hopes,Bruce Springsteen,2014-02-22,41
Native,OneRepublic,2014-02-22,42
Is There Anybody Out There?,A Great Big World,2014-02-22,43
The Truth About Love,P!nk,2014-02-22,44
Blame It All On My Roots: Five Decades Of Influences,Garth Brooks,2014-02-22,45
Unconditional Love,Ruben Studdard,2014-02-22,46
Bakersfield,Vince Gill &amp; Paul Franklin,2014-02-22,47
The Lego Movie,Soundtrack,2014-02-22,48
WOW Hits 2014,Various Artists,2014-02-22,49
Kin (<-->),Pat Metheny Unity Group,2014-02-22,50
Because The Internet,Childish Gambino,2014-02-22,51
Based On A True Story ...,Blake Shelton,2014-02-22,52
Night Train,Jason Aldean,2014-02-22,53
Early Morning Shakes,Whiskey Myers,2014-02-22,54
My Own Lane,Kid Ink,2014-02-22,55
Born To Die,Lana Del Rey,2014-02-22,56
Greatest Hits,Red Hot Chili Peppers,2014-02-22,57
Flesh & Blood,John Butler Trio,2014-02-22,58
ARTPOP,Lady Gaga,2014-02-22,59
The Blessed Unrest,Sara Bareilles,2014-02-22,60
True,Avicii,2014-02-22,61
Love And War,Tamar Braxton,2014-02-22,62
The River & The Thread,Rosanne Cash,2014-02-22,63
Ready To Fly,Jamie Grace,2014-02-22,64
NOW That's What I Call Country Ballads 2,Various Artists,2014-02-22,65
Rebellious Soul,K. Michelle,2014-02-22,66
Save Rock And Roll,Fall Out Boy,2014-02-22,67
21,Adele,2014-02-22,68
Never Land (EP),Andy Mineo,2014-02-22,69
Blurred Lines,Robin Thicke,2014-02-22,70
I Am,Yo Gotti,2014-02-22,71
Lindsey Stirling,Lindsey Stirling,2014-02-22,72
Fuse,Keith Urban,2014-02-22,73
Croz,David Crosby,2014-02-22,74
To Be Loved,Michael Buble,2014-02-22,75
The 20/20 Experience,Justin Timberlake,2014-02-22,76
Halcyon,Ellie Goulding,2014-02-22,77
Red,Taylor Swift,2014-02-22,78
Fading West (Soundtrack),Switchfoot,2014-02-22,79
I Love You.,The Neighbourhood,2014-02-22,80
The Royal Sessions,Paul Rodgers,2014-02-22,81
Underground Luxury,B.o.B,2014-02-22,82
Legend: The Best Of...,Bob Marley And The Wailers,2014-02-22,83
Hunter Hayes,Hunter Hayes,2014-02-22,84
Clear,Periphery,2014-02-22,85
Yours Truly,Ariana Grande,2014-02-22,86
Hail To The King,Avenged Sevenfold,2014-02-22,87
+,Ed Sheeran,2014-02-22,88
The Wrong Side Of Heaven...Volume 2,Five Finger Death Punch,2014-02-22,89
Mind Over Matter,Young The Giant,2014-02-22,90
[Hybrid Theory],Linkin Park,2014-02-22,91
Inside Llewyn Davis,Soundtrack,2014-02-22,92
All The Right Reasons,Nickelback,2014-02-22,93
Baptized,Daughtry,2014-02-22,94
Golden,Lady Antebellum,2014-02-22,95
Opus Collection,Dusty Springfield,2014-02-22,96
Sinatra: Best Of The Best,Frank Sinatra,2014-02-22,97
Four Foot Shack,Les Claypool's Duo De Twang,2014-02-22,98
Women Of Jazz,Various Artists,2014-02-22,99
Babel,Mumford &amp; Sons,2014-02-22,100
"So Long, See You Tomorrow",Bombay Bicycle Club,2014-02-22,101
It Goes Like This,Thomas Rhett,2014-02-22,102
Best Days,Tamela Mann,2014-02-22,103
Pitch Perfect,Soundtrack,2014-02-22,104
PTX: Vol. II,Pentatonix,2014-02-22,105
Loved Me Back To Life,Celine Dion,2014-02-22,106
Teenage Dream,Katy Perry,2014-02-22,107
The Eminem Show,Eminem,2014-02-22,108
Grace (EP),Tasha Cobbs,2014-02-22,109
Britney Jean,Britney Spears,2014-02-22,110
The Best Of Nickelback: Volume 1,Nickelback,2014-02-22,111
Black Beehive,Big Head Todd And The Monsters,2014-02-22,112
The 1975,The 1975,2014-02-22,113
Off The Beaten Path,Justin Moore,2014-02-22,114
The Legend Of Johnny Cash,Johnny Cash,2014-02-22,115
Love Story,Tim McGraw,2014-02-22,116
Take Care,Drake,2014-02-22,117
Rise,Skillet,2014-02-22,118
Abbey Road,The Beatles,2014-02-22,119
Chief,Eric Church,2014-02-22,120
True Believers,Darius Rucker,2014-02-22,121
Modern Vampires Of The City,Vampire Weekend,2014-02-22,122
Mechanical Bull,Kings Of Leon,2014-02-22,123
Restart,newsboys,2014-02-22,124
Uncaged,Zac Brown Band,2014-02-22,125
Calicountry,Moonshine Bandits,2014-02-22,126
Magna Carta... Holy Grail,JAY-Z,2014-02-22,127
Common Courtesy,A Day To Remember,2014-02-22,128
My Head Is An Animal,Of Monsters And Men,2014-02-22,129
19,Adele,2014-02-22,130
Give The People What They Want,Sharon Jones And The Dap-Kings,2014-02-22,131
Sgt. Pepper's Lonely Hearts Club Band,The Beatles,2014-02-22,132
See You Tonight,Scotty McCreery,2014-02-22,133
Rubber Soul,The Beatles,2014-02-22,134
Paranoid,Black Sabbath,2014-02-22,135
Write You A Song,Jon Pardi,2014-02-22,136
Metallica,Metallica,2014-02-22,137
Journey's Greatest Hits,Journey,2014-02-22,138
The Lumineers,The Lumineers,2014-02-22,139
Foreverly,Billie Joe + Norah,2014-02-22,140
Augustines,Augustines,2014-02-22,141
The Marshall Mathers LP,Eminem,2014-02-22,142
Slow Phaser,Nicole Atkins,2014-02-22,143
Reflektor,Arcade Fire,2014-02-22,144
Greatest Hits,Motley Crue,2014-02-22,145
Licensed To Ill,Beastie Boys,2014-02-22,146
God's Not Dead,newsboys,2014-02-22,147
"Too Weird To Live, Too Rare To Die!",Panic! At The Disco,2014-02-22,148
Sigh No More,Mumford &amp; Sons,2014-02-22,149
Up All Night,One Direction,2014-02-22,150
Las Bandas Romanticas de America 2014,Various Artists,2014-02-22,151
A Messenger,Colton Dixon,2014-02-22,152
Church Clothes: Vol. 2,Lecrae,2014-02-22,153
Nashville: Season 2: Volume 1,Soundtrack,2014-02-22,154
The Hunger Games: Catching Fire,Soundtrack,2014-02-22,155
Zion,Hillsong UNITED,2014-02-22,156
Eye On It,tobyMac,2014-02-22,157
The Joshua Tree,U2,2014-02-22,158
The Beatles [White Album],The Beatles,2014-02-22,159
Tailgates & Tanlines,Luke Bryan,2014-02-22,160
Blood,In This Moment,2014-02-22,161
Days Are Gone,HAIM,2014-02-22,162
