artist,date,rank
Trey Songz,2014-03-22,1
Sam Smith,2014-03-22,2
Iggy Azalea,2014-03-22,3
MAGIC!,2014-03-22,4
Ed Sheeran,2014-03-22,5
Ariana Grande,2014-03-22,6
Katy Perry,2014-03-22,7
5 Seconds Of Summer,2014-03-22,8
Jason Derulo,2014-03-22,9
Luke Bryan,2014-03-22,10
Pharrell Williams,2014-03-22,11
Nico &amp; Vinz,2014-03-22,12
OneRepublic,2014-03-22,13
Maroon 5,2014-03-22,14
Charli XCX,2014-03-22,15
Lana Del Rey,2014-03-22,16
John Legend,2014-03-22,17
Miranda Lambert,2014-03-22,18
Calvin Harris,2014-03-22,19
Eminem,2014-03-22,20
Justin Timberlake,2014-03-22,21
Imagine Dragons,2014-03-22,22
Florida Georgia Line,2014-03-22,23
Lorde,2014-03-22,24
Miley Cyrus,2014-03-22,25
Beyonce,2014-03-22,26
Coldplay,2014-03-22,27
Brantley Gilbert,2014-03-22,28
Bruno Mars,2014-03-22,29
Seether,2014-03-22,30
Robin Thicke,2014-03-22,31
Michael Jackson,2014-03-22,32
Drake,2014-03-22,33
One Direction,2014-03-22,34
Paramore,2014-03-22,35
Blake Shelton,2014-03-22,36
Chris Brown,2014-03-22,37
Sia,2014-03-22,38
Dierks Bentley,2014-03-22,39
Disclosure,2014-03-22,40
Jake Owen,2014-03-22,41
Nicki Minaj,2014-03-22,42
MKTO,2014-03-22,43
Demi Lovato,2014-03-22,44
Bastille,2014-03-22,45
Lady Antebellum,2014-03-22,46
Kenny Chesney,2014-03-22,47
Pitbull,2014-03-22,48
Linkin Park,2014-03-22,49
Avicii,2014-03-22,50
Shakira,2014-03-22,51
ScHoolboy Q,2014-03-22,52
Colt Ford,2014-03-22,53
August Alsina,2014-03-22,54
Lil Wayne,2014-03-22,55
Eric Church,2014-03-22,56
KONGOS,2014-03-22,57
Enrique Iglesias,2014-03-22,58
Zac Brown Band,2014-03-22,59
Wiz Khalifa,2014-03-22,60
Jennifer Lopez,2014-03-22,61
Snoop Dogg,2014-03-22,62
Led Zeppelin,2014-03-22,63
Becky G,2014-03-22,64
Usher,2014-03-22,65
Lee Brice,2014-03-22,66
Justin Bieber,2014-03-22,67
Hillsong Worship,2014-03-22,68
Jason Aldean,2014-03-22,69
Old Crow Medicine Show,2014-03-22,70
Joe Nichols,2014-03-22,71
Arctic Monkeys,2014-03-22,72
Rihanna,2014-03-22,73
YG,2014-03-22,74
American Authors,2014-03-22,75
Lil Jon,2014-03-22,76
Rixton,2014-03-22,77
Jhene Aiko,2014-03-22,78
Jack White,2014-03-22,79
Tiesto,2014-03-22,80
DJ Snake,2014-03-22,81
Taylor Swift,2014-03-22,82
Ellie Goulding,2014-03-22,83
Chris Young,2014-03-22,84
Kid Ink,2014-03-22,85
Zedd,2014-03-22,86
P!nk,2014-03-22,87
The Black Keys,2014-03-22,88
Carrie Underwood,2014-03-22,89
Phillip Phillips,2014-03-22,90
JAY-Z,2014-03-22,91
Idina Menzel,2014-03-22,92
Tyler Farr,2014-03-22,93
Cole Swindell,2014-03-22,94
Adele,2014-03-22,95
Justin Moore,2014-03-22,96
Tim McGraw,2014-03-22,97
Ingrid Michaelson,2014-03-22,98
Christina Perri,2014-03-22,99
Passenger,2014-03-22,100
Trey Songz,2014-03-15,1
Sam Smith,2014-03-15,2
Iggy Azalea,2014-03-15,3
MAGIC!,2014-03-15,4
Ed Sheeran,2014-03-15,5
Ariana Grande,2014-03-15,6
Katy Perry,2014-03-15,7
5 Seconds Of Summer,2014-03-15,8
Jason Derulo,2014-03-15,9
Luke Bryan,2014-03-15,10
Pharrell Williams,2014-03-15,11
Nico &amp; Vinz,2014-03-15,12
OneRepublic,2014-03-15,13
Maroon 5,2014-03-15,14
Charli XCX,2014-03-15,15
Lana Del Rey,2014-03-15,16
John Legend,2014-03-15,17
Miranda Lambert,2014-03-15,18
Calvin Harris,2014-03-15,19
Eminem,2014-03-15,20
Justin Timberlake,2014-03-15,21
Imagine Dragons,2014-03-15,22
Florida Georgia Line,2014-03-15,23
Lorde,2014-03-15,24
Miley Cyrus,2014-03-15,25
Beyonce,2014-03-15,26
Coldplay,2014-03-15,27
Brantley Gilbert,2014-03-15,28
Bruno Mars,2014-03-15,29
Seether,2014-03-15,30
Robin Thicke,2014-03-15,31
Michael Jackson,2014-03-15,32
Drake,2014-03-15,33
One Direction,2014-03-15,34
Paramore,2014-03-15,35
Blake Shelton,2014-03-15,36
Chris Brown,2014-03-15,37
Sia,2014-03-15,38
Dierks Bentley,2014-03-15,39
Disclosure,2014-03-15,40
Jake Owen,2014-03-15,41
Nicki Minaj,2014-03-15,42
MKTO,2014-03-15,43
Demi Lovato,2014-03-15,44
Bastille,2014-03-15,45
Lady Antebellum,2014-03-15,46
Kenny Chesney,2014-03-15,47
Pitbull,2014-03-15,48
