song,artist,date,rank
Dark Horse,Katy Perry Featuring Juicy J,2014-02-22,1
Happy,Pharrell Williams,2014-02-22,2
Talk Dirty,Jason Derulo Featuring 2 Chainz,2014-02-22,3
Say Something,A Great Big World &amp; Christina Aguilera,2014-02-22,4
Let Her Go,Passenger,2014-02-22,5
Timber,Pitbull Featuring Ke$ha,2014-02-22,6
Counting Stars,OneRepublic,2014-02-22,7
Drunk In Love,Beyonce Featuring Jay Z,2014-02-22,8
Team,Lorde,2014-02-22,9
Pompeii,Bastille,2014-02-22,10
The Monster,Eminem Featuring Rihanna,2014-02-22,11
Royals,Lorde,2014-02-22,12
Story Of My Life,One Direction,2014-02-22,13
Burn,Ellie Goulding,2014-02-22,14
All Of Me,John Legend,2014-02-22,15
Demons,Imagine Dragons,2014-02-22,16
The Man,Aloe Blacc,2014-02-22,17
Let It Go,Idina Menzel,2014-02-22,18
Wake Me Up!,Avicii,2014-02-22,19
Show Me,Kid Ink Featuring Chris Brown,2014-02-22,20
Can't Remember To Forget You,Shakira Featuring Rihanna,2014-02-22,21
Roar,Katy Perry,2014-02-22,22
Radioactive,Imagine Dragons,2014-02-22,23
Adore You,Miley Cyrus,2014-02-22,24
My Hitta,YG Featuring Jeezy &amp; Rich Homie Quan,2014-02-22,25
Best Day Of My Life,American Authors,2014-02-22,26
Wrecking Ball,Miley Cyrus,2014-02-22,27
Brave,Sara Bareilles,2014-02-22,28
"Hold On, We're Going Home",Drake Featuring Majid Jordan,2014-02-22,29
Hey Brother,Avicii,2014-02-22,30
Love Me Again,John Newman,2014-02-22,31
Drink A Beer,Luke Bryan,2014-02-22,32
Young Girls,Bruno Mars,2014-02-22,33
Sweater Weather,The Neighbourhood,2014-02-22,34
Whatever She's Got,David Nail,2014-02-22,35
Stay The Night,Zedd Featuring Hayley Williams,2014-02-22,36
Turn Down For What,DJ Snake &amp; Lil Jon,2014-02-22,37
Chillin' It,Cole Swindell,2014-02-22,38
Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,2014-02-22,39
When She Says Baby,Jason Aldean,2014-02-22,40
Sail,AWOLNATION,2014-02-22,41
Paranoid,Ty Dolla $ign Featuring B.o.B,2014-02-22,42
Safe And Sound,Capital Cities,2014-02-22,43
White Walls,Macklemore &amp; Ryan Lewis Featuring ScHoolboy Q &amp; Hollis,2014-02-22,44
Animals,Martin Garrix,2014-02-22,45
Neon Lights,Demi Lovato,2014-02-22,46
23,"Mike WiLL Made-It Featuring Miley Cyrus, Wiz Khalifa &amp; Juicy J",2014-02-22,47
Bottoms Up,Brantley Gilbert,2014-02-22,48
Friday Night,Eric Paslay,2014-02-22,49
Do What U Want,Lady Gaga Featuring R. Kelly,2014-02-22,50
It Won't Stop,Sevyn Streeter Featuring Chris Brown,2014-02-22,51
Give Me Back My Hometown,Eric Church,2014-02-22,52
Compass,Lady Antebellum,2014-02-22,53
All Me,Drake Featuring 2 Chainz &amp; Big Sean,2014-02-22,54
Doin' What She Likes,Blake Shelton,2014-02-22,55
Let It Go,Demi Lovato,2014-02-22,56
Do You Want To Build A Snowman?,"Kristen Bell, Agatha Lee Monn &amp; Katie Lopez",2014-02-22,57
Rap God,Eminem,2014-02-22,58
I Hold On,Dierks Bentley,2014-02-22,59
Love Don't Die,The Fray,2014-02-22,60
Helluva Life,Frankie Ballard,2014-02-22,61
See You Tonight,Scotty McCreery,2014-02-22,62
Loyal,Chris Brown Featuring Lil Wayne &amp; French Montana Or Too $hort Or Tyga,2014-02-22,63
Stay,Florida Georgia Line,2014-02-22,64
XO,Beyonce,2014-02-22,65
Up Down (Do This All Day),T-Pain Featuring B.o.B,2014-02-22,66
Take Me Home,Cash Cash Featuring Bebe Rexha,2014-02-22,67
