date,rank,album,song,artist
20130610,1,Give It To Me,Give It To Me,씨스타
20130610,2,`A Cube` For Season # Blue,짧은머리,허각
20130610,3,Give It To Me,넌 너무 야해 (Feat. 긱스) (The Way You Make Me Melt),씨스타
20130610,4,미친연애,미친연애 (Bad Girl) (Feat. E-Sens Of 슈프림팀),범키
20130610,5,구가의 서 OST Part.7,너 하나야,포맨
20130610,6,Give It To Me,바빠 (Bad Boy),씨스타
20130610,7,Name Is 4minute,이름이 뭐예요?,4minute
20130610,8,MONOCHROME,Bad Girls,이효리
20130610,9,Escaping Gravity,Ocean Of Light,넬 (NELL)
20130610,10,괜찮겠니,괜찮겠니,비스트
20130610,11,콩떡빙수,콩떡빙수,악동뮤지션
20130610,12,봄봄봄,봄봄봄,로이킴
20130610,13,The 5th Album Vol.2 `Thank You`,청혼하는 거예요,포맨
20130610,14,회복이 급해,"회복이 급해 (Feat. 하림, 호투)",2BIC(투빅)
20130610,15,구가의 서 OST Part.6,잘 있나요,The One (더원)
20130610,16,Letter From Secret,YooHoo (유후),시크릿
20130610,17,Backpack,Wash Away (Feat. 에일리),긱스 (Geeks)
20130610,18,Tears Of Mind,진통제,티아라
20130610,19,Number 1,Number 1,투개월
20130610,20,내 연애의 모든 것 OST Part.3,I Love You,악동뮤지션
20130610,21,After School The 6th Maxi Single `첫사랑`,첫사랑,애프터스쿨
20130610,22,Organic Sound,꼭 한번 만나고 싶다,바이브
20130610,23,I DANCE,I Dance (Feat. 유빈 Of 원더걸스),아이비
20130610,24,나쁜 기집애,나쁜 기집애,CL
20130610,25,MONOCHROME,미스코리아,이효리
20130610,26,GENTLEMAN,GENTLEMAN,싸이 (PSY)
20130610,27,Organic Sound,이 나이 먹도록,바이브
20130610,28,Give It To Me,Crying,씨스타
20130610,29,이게 무슨 일이야,이게 무슨 일이야,B1A4
20130610,30,마지막 그 한마디,마지막 그 한마디,이승기
20130610,31,8th #1 유리 심장,오늘 밤 (Feat. 배치기),린
20130610,32,Rainbow Syndrome Part.2,SUNSHINE,레인보우
20130610,33,녹는 중,녹는 중 (Feat. 버벌진트),다비치
20130610,34,MY LOVE,사랑하고 싶은 날,이승철
20130610,35,기대,기대해,걸스데이
20130610,36,Bounce,Bounce,조용필
20130610,37,자니,자니 (Feat. Dynamic Duo),프라이머리
20130610,38,구가의 서 OST Part.5,나를 잊지말아요,수지 (SUZY)
20130610,39,The 3rd Album Part.2 `Love Blossom (러브블러썸)`,Love Blossom (러브블러썸),케이윌
20130610,40,Mystic Ballad Part.1,거북이,다비치
20130610,41,Just Listen,우리가 헤어진 진짜 이유,윤하 (YOUNHA)
20130610,42,SEXY BEAT,스모키걸 (Smoky Girl),엠블랙
20130610,43,어때,어때 (Feat. 하림),긱스 (Geeks)
20130610,44,The 1st Album XOXO (KISS＆HUG),늑대와 미녀 (Wolf),EXO
20130610,45,"장옥정, 사랑에 살다 OST Part.6",닿을 수 있나요,이수영
20130610,46,스트로베리 익스트림 페스티벌 Part 5,그런 여자,백지영
20130610,47,전원일기,전원일기 (田園日記) (Feat. 이단옆차기 &amp; 태운),티아라 N4
20130610,48,8th #1 유리 심장,유리 심장 (Feat. 용준형 Of 비스트),린
20130610,49,New Wave Studio (Vol.1),뭘 해도 똑같다,The One (더원)
20130610,50,The Classic,This Love,신화
20130610,51,SBS K팝 스타 시즌2 TOP 6,Crescendo (크레셴도),악동뮤지션
20130610,52,넌 최고야,넌 최고야,별
20130610,53,Forever Young,헤어지자,서인영
20130610,54,2 4 : 2 6,Boogie On &amp; On,빈지노 (Beenzino)
20130610,55,JOAH,좋아 (JOAH),박재범
20130610,56,A Voice,컬러링,Lim Kim
20130610,57,First Love,Rose,이하이
20130610,58,The Lyrics - No.3,불편한 진실,이지영 (빅마마)
